depth_m,years_1000,temp_c,gas_age_1000s,co2_ppm
130,4.26,-55.32333333333333,1.9,274
140,4.66,-54.82333333333333,2.28,273.07
150,5.06,-55.45333333333334,2.66,272.14
160,5.45,-55.81333333333333,3.04,271.22
170,5.85,-54.62833333333333,3.41,270.29
180,6.27,-55.56,3.82,268.39
190,6.7,-55.71,4.25,266.06
200,7.14,-52.80833333333334,4.67,263.73
210,7.57,-55.29833333333334,5.09,261.4
220,8.01,-55.32333333333333,5.52,259.06
230,8.44,-54.78333333333333,5.94,256.73
240,8.87,-54.553333333333335,6.36,254.4
250,9.31,-55.39666666666667,6.79,252.07
260,9.76,-54.77333333333333,7.23,255.09
270,10.24,-56.041666666666664,7.68,257.22
280,10.74,-57.85166666666667,8.13,257.77
290,11.24,-58.879999999999995,8.58,258.31
300,11.74,-58.593333333333334,9.02,258.86
310,12.32,-57.37166666666667,9.52,257.58
320,12.94,-59.156666666666666,10.04,255.66
330,13.55,-60.64666666666667,10.56,253.75
340,14.17,-61.63666666666666,11.08,251.83
350,14.78,-62.83166666666667,11.6,249.91
360,15.39,-63.76166666666666,12.12,247.99
370,16.01,-64.65666666666667,12.64,246.07
380,16.69,-63.66,13.22,240.5
390,17.48,-64.93166666666666,13.87,230.26
400,18.26,-64.41,14.52,220.02
410,19.05,-64.36666666666666,15.18,209.79
420,19.83,-65.27166666666666,15.83,199.55
430,20.63,-64.62,16.54,193.11
440,21.45,-64.765,17.34,193.43
450,22.28,-63.415,18.15,193.74
460,23.11,-63.9,18.95,194.05
470,23.93,-64.135,19.75,194.37
480,24.76,-64.99,20.58,195.13
490,25.6,-63.754999999999995,21.42,196.21
500,26.43,-62.94833333333333,22.27,197.29
510,27.27,-64.55666666666666,23.11,198.37
520,28.1,-63.586666666666666,23.96,199.45
530,28.93,-64.24,24.81,199.81
540,29.74,-63.01833333333334,25.66,199.41
550,30.56,-63.69166666666666,26.51,199.02
560,31.38,-62.754999999999995,27.36,198.63
570,32.19,-61.185,28.21,198.24
580,33,-61.60166666666667,29.05,201.8
590,33.79,-63.26499999999999,29.89,211.31
600,34.59,-62.85166666666667,30.72,220.81
610,35.37,-62.40166666666667,31.53,217.71
620,36.16,-62.76166666666666,32.35,210.85
630,36.94,-62.13333333333333,33.15,207.51
640,37.71,-62.343333333333334,33.95,208.66
650,38.48,-62.31166666666667,34.74,209.82
660,39.24,-60.76,35.52,209.48
670,40.01,-61.745000000000005,36.3,208.87
680,40.77,-61.44833333333333,37.08,208.25
690,41.53,-62.96,37.86,207.63
700,42.3,-62.705000000000005,38.64,207.02
710,43.06,-63.04666666666666,39.4,201.24
720,43.82,-62.74166666666667,40.16,195.3
730,44.58,-62.49333333333333,40.92,189.37
740,45.34,-61.955000000000005,41.68,183.43
750,46.1,-61.78333333333333,42.44,179.86
760,46.85,-61.501666666666665,43.2,187.85
770,47.61,-61.876666666666665,43.96,195.84
780,48.36,-61.4,44.71,201.49
790,49.1,-62.04333333333333,45.47,204.6
800,49.85,-61.31,46.22,207.7
810,50.6,-62.76333333333333,46.97,206.42
820,51.34,-62.305,47.72,205.15
830,52.09,-60.961666666666666,48.47,203.87
840,52.84,-60.18666666666667,49.21,202.6
850,53.58,-59.52666666666667,49.96,201.32
860,54.35,-60.72,50.71,201
870,55.12,-61.49666666666667,51.45,201
880,55.9,-61.37833333333333,52.2,204.78
890,56.69,-62.32,52.95,211.41
900,57.49,-62.98166666666666,53.7,218.04
910,58.3,-63.58833333333333,54.47,217.91
920,59.11,-62.32833333333334,55.25,215.88
930,59.94,-63.85666666666666,56.04,213.48
940,60.78,-64.10166666666667,56.84,210.29
950,61.63,-64.42166666666667,57.65,207.11
960,62.5,-63.455000000000005,58.47,204.63
970,63.38,-63.751666666666665,59.3,202.32
980,64.26,-62.105,60.14,199.56
990,65.13,-62.830000000000005,61,196.2
1000,66.01,-62.73333333333333,61.86,192.84
1010,66.88,-61.82666666666666,62.75,192.36
1020,67.74,-62.77166666666667,63.65,192.83
1030,68.59,-63.10833333333333,64.54,195.81
1040,69.43,-62.96,65.43,200.14
1050,70.27,-61.705000000000005,66.33,204.46
1060,71.1,-60.35833333333333,67.2,212.63
1070,71.93,-61.568333333333335,68.07,222
1080,72.75,-63.23666666666667,68.94,229.73
1090,73.57,-61.72333333333333,69.79,235.93
1100,74.39,-62.46,70.65,242.13
1110,75.19,-61.53666666666667,71.49,239.98
1120,75.99,-60.06333333333333,72.34,236.47
1130,76.79,-59.78333333333333,73.17,233.93
1140,77.58,-59.123333333333335,74,232.1
1150,78.37,-59.97666666666667,74.83,229.95
1160,79.15,-59.195,75.64,225.77
1170,79.93,-59.98,76.45,221.59
1180,80.7,-59.24166666666667,77.26,219.8
1190,81.47,-58.13999999999999,78.06,220.39
1200,82.24,-59.055,78.85,220.98
1210,83.01,-59.76833333333334,79.65,221.57
1220,83.78,-60.23333333333333,80.45,222.16
1230,84.55,-60.29833333333334,81.22,224.42
1240,85.33,-59.85833333333333,81.96,228.88
1250,86.1,-61.16,82.71,233.33
1260,86.88,-62.12166666666667,83.52,228.31
1270,87.65,-61.824999999999996,84.35,221.61
1280,88.43,-60.54666666666666,85.16,216.76
1290,89.21,-61.39833333333333,85.95,213.26
1300,89.99,-60.695,86.74,210.35
1310,90.78,-59.62833333333333,87.53,215.3
1320,91.56,-60.73333333333333,88.32,220.26
1330,92.35,-60.47333333333333,89.12,222.77
1340,93.15,-59.928333333333335,89.91,224.47
1350,93.94,-60.245000000000005,90.71,226.31
1360,94.73,-60.833333333333336,91.51,229.41
1370,95.53,-60.57,92.31,232.51
1380,96.33,-59.615,93.12,232.59
1390,97.13,-59.805,93.93,229.88
1400,97.93,-59.74666666666667,94.74,227.18
1410,98.74,-59.36166666666667,95.55,229.6
1420,99.55,-58.781666666666666,96.36,233.73
1430,100.38,-58.373333333333335,97.18,234.1
1440,101.23,-58.98166666666666,98,229.87
1450,102.08,-60.18333333333334,98.83,225.63
1460,102.97,-59.90833333333333,99.67,226.38
1470,103.87,-60.405,100.52,228.01
1480,104.78,-59.98833333333334,101.39,230.58
1490,105.71,-60.29,102.28,234.62
1500,106.65,-60.35166666666667,103.17,238.44
1510,107.64,-62.86166666666667,104.1,236.94
1520,108.62,-62.42166666666666,105.03,235.44
1530,109.6,-62.105,105.98,236.2
1540,110.57,-61.56666666666666,106.96,240.79
1550,111.53,-61.96333333333333,107.95,242.88
1560,112.45,-62.29833333333334,108.97,239.16
1570,113.37,-62.10666666666666,109.98,235.43
1580,114.27,-61.156666666666666,110.97,234.87
1590,115.15,-60.21666666666667,111.93,237.72
1600,116.02,-60.178333333333335,112.88,242.53
1610,116.85,-58.89333333333334,113.79,255.16
1620,117.68,-58.54833333333334,114.7,267.79
1630,118.5,-57.435,115.59,275.36
1640,119.29,-57.50333333333333,116.46,273.52
1650,120.09,-56.98333333333333,117.32,271.68
1660,120.85,-56.80166666666667,118.15,274.51
1670,121.61,-56.85,118.97,277.86
1680,122.36,-56.695,119.78,278.75
1690,123.1,-55.818333333333335,120.57,275.28
1700,123.83,-55.971666666666664,121.36,271.81
1710,124.54,-54.93333333333334,122.12,269.32
1720,125.25,-55.26166666666666,122.87,266.93
1730,125.95,-56.04833333333334,123.61,265.96
1740,126.65,-55.38833333333333,124.33,268.01
1750,127.34,-54.61833333333333,125.04,270.06
1760,128.04,-54.925000000000004,125.76,272.11
1770,128.74,-54.678333333333335,126.48,274.16
1780,129.44,-55.01166666666666,127.19,273.23
1790,130.15,-54.721666666666664,127.9,270.22
1800,130.86,-53.843333333333334,128.61,267.22
1810,131.57,-53.09,129.33,269.27
1820,132.29,-53.35833333333333,130.05,272.92
1830,133.01,-52.330000000000005,130.78,273.44
1840,133.74,-53.585,131.51,269.81
1850,134.47,-55.64833333333333,132.24,266.18
1860,135.24,-53.906666666666666,132.99,277.41
1870,136,-55.035,133.73,289.42
1880,136.8,-55.943333333333335,134.48,291.71
1890,137.64,-57.925000000000004,135.25,280.02
1900,138.49,-58.29,136.02,268.34
1910,139.43,-59.50666666666667,136.86,260
1920,140.4,-61.11333333333334,137.72,252.5
1930,141.39,-62.845,138.61,245
1940,142.49,-63.306666666666665,139.58,237.51
1950,143.61,-63.055,140.57,230.31
1960,144.89,-64.95,141.68,225.05
1970,146.18,-64.89833333333333,142.78,219.79
1980,147.58,-63.915,143.98,211.62
1990,149.11,-64.16666666666667,145.29,200.16
2000,150.67,-63.91833333333333,146.65,191.69
2010,152.35,-64.78833333333334,148.23,195.12
2020,154.02,-63.96666666666667,149.8,198.55
2030,155.7,-64.67833333333333,151.45,198.89
2040,157.38,-64.17999999999999,153.18,195.15
2050,159.05,-64.92333333333333,154.92,191.41
2060,160.73,-64.20833333333333,156.65,192.8
